init(i1)
action(n1, "start the process")
action(n2, "receive the invoice")
action(n3, "sort invoice per client")
action(n4, "sort invoice per vendor")
action(n5, "attach invoice entry form to invoice")
action(n6, "enter required information onto form")
action(n7, "check completeness of invoice")
branch(b1, XOR)
action(n8, "end process")
end(e1)
action(n9, "enter information for SLA")
action(n10, "enter date for completion")
action(n11, "check priority")
branch(b2, XOR)
action(n12, "place red stamp on entry invoice")
action(n13, "continue process")
action(n14, "check invoice compliance")
branch(b3, XOR)
action(n15, "check invoice compliance")
branch(b4, XOR)
action(n16, "continue process")
action(n17, "continue process")
action(n18, "continue checking compliance")
action(n19, "continue checking compliance")
action(n20, "invoice needs to be sent to experienced staff")
branch(b5, XOR)
action(n21, "invoice needs to be sent to experienced staff")
branch(b6, XOR)
action(n22, "process non compliance invoice")
action(n23, "call client")
action(n24, "process non compliance invoice")
action(n25, "call client")
action(n26, "check normal case")
branch(b7, XOR)
action(n27, "check normal case")
branch(b8, XOR)
action(n28, "send postal mail requesting information")
action(n29, "send postal mail requesting information")
action(n30, "end process")
end(e2)
action(n31, "end process")
end(e3)
action(n32, "call client and request information")
action(n33, "call client and request information")
action(n34, "invoice batched and allocated to DEO")
action(n35, "invoice batched and allocated to DEO")
action(n36, "end process")
end(e4)
action(n37, "end process")
end(e5)
action(n38, "merge node after placing red stamp")
action(n39, "merge node after continue process")
action(n40, "merge node after continue checking compliance on node14 and 15")
action(n41, "merge node after continue checking compliance on node14 and 15")
action(n42, "merge node after processing non compliance and calling client on node20 and 21")
action(n43, "merge node after processing non compliance and calling client on node20 and 21")
action(n44, "merge node after checking normal case on node26 and 27")
action(n45, "merge node after checking normal case on node26 and 27")
action(n46, "merge node after calling client and requesting info on node32 and 33")
action(n47, "merge node after calling client and requesting info on node32 and 33")
branch(b9, AND)
branch(b10, AND)
branch(b11, AND)
branch(b12, AND)
branch(b13, AND)
branch(b14, AND)
defines(v1, "check completeness of invoice", {})
defines(v2, "check priority", {})
defines(v3, "check invoice compliance", {})
defines(v4, "check invoice compliance", {})
defines(v5, "invoice needs to be sent to experienced staff", {})
defines(v6, "invoice needs to be sent to experienced staff", {})
defines(v7, "check normal case", {})
defines(v8, "check normal case", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, b1, n8, e1, n9, n10, n11, b2, n12, n13, n14, b3, n15, b4, n16, n17, n18, n19, n20, b5, n21, b6, n22, n23, n24, n25, n26, b7, n27, b8, n28, n29, n30, e2, n31, e3, n32, n33, n34, n35, n36, e4, n37, e5, n38, n39, n40, n41, n42, n43, n44, n45, n46, n47, b9, b10, b11, b12, b13, b14])

precedence(i1, n1)
precedence(n7, b1)
precedence(n8, e1)
precedence(n11, b2)
precedence(n14, b3)
precedence(n15, b4)
precedence(n20, b5)
precedence(n21, b6)
precedence(n26, b7)
precedence(n27, b8)
precedence(n30, e2)
precedence(n31, e3)
precedence(n36, e4)
precedence(n37, e5)
precedence(n12, b9)
precedence(n13, b10)
precedence(n32, b11)
precedence(n33, b12)
precedence(n34, b13)
precedence(n35, b14)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(b1, n8)
precedence(b1, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(b2, n12)
precedence(b2, n13)
precedence(b9, n14)
precedence(b10, n15)
precedence(b3, n16)
precedence(b4, n17)
precedence(b3, n18)
precedence(b4, n19)
precedence(n16, n20)
precedence(n17, n21)
precedence(b5, n22)
precedence(b5, n23)
precedence(b6, n24)
precedence(b6, n25)
precedence(n23, n26)
precedence(n25, n27)
precedence(b7, n28)
precedence(b8, n29)
precedence(n28, n30)
precedence(n29, n31)
precedence(b7, n32)
precedence(b8, n33)
precedence(b11, n34)
precedence(b12, n35)
precedence(b13, n36)
precedence(b14, n37)
precedence(b9, n38)
precedence(b10, n39)
precedence(n18, n40)
precedence(n19, n41)
precedence(n22, n42)
precedence(n24, n43)
precedence(b11, n44)
precedence(b12, n45)
precedence(b13, n46)
precedence(b14, n47)
