init(i1)
action(n1, "Go to Amazon homepage")
action(n2, "Search for a book")
action(n3, "Find the book")
action(n4, "Click on link for 22 used books")
action(n5, "Click on Add to Cart for the second book")
action(n6, "Click on Proceed to Checkout")
action(n7, "Enter email address on checkout page")
action(n8, "Select I am a new customer")
action(n9, "Click on Sign in using our secure server")
action(n10, "Enter customer details and click on Create account")
action(n11, "Enter shipping details and click on Continue")
action(n12, "Select preferred shipping options and click on Continue")
action(n13, "Choose payment method and enter credit card details")
action(n14, "Click on Add your card")
action(n15, "Click on Continue")
action(n16, "Choose billing address and select use chosen address")
action(n17, "Click on Place your order in AUD")
action(n18, "Procedure complete")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, e1])

precedence(i1, n1)
precedence(n18, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
