init(i1)
action(n1, "start the process")
action(n2, "gather the required items")
action(n3, "inquire about the availability of products")
action(n4, "wait for the invoice after sending inquiry")
action(n5, "receive the invoice")
action(n6, "review the pricing and terms of the items")
action(n7, "send a purchase requisition")
action(n8, "wait for the purchase invoice and shipment")
action(n9, "receive the purchase invoice and shipment")
action(n10, "receive the invoice")
action(n11, "make the payment")
action(n12, "You have completed this procedure")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, e1])

precedence(i1, n1)
precedence(n12, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
