init(i1)
action(n1, "start the process")
action(n2, "request material")
action(n3, "check if material is in stock condition 1")
branch(b1, XOR)
action(n4, "place orders to suppliers branch 1")
action(n5, "manage transfers of material branch 1")
action(n6, "check if material is in stock condition 2")
branch(b2, XOR)
action(n7, "place orders to suppliers branch 2")
action(n8, "manage transfers of material branch 2")
action(n9, "place orders to suppliers after stock checks")
action(n10, "place orders to suppliers after stock checks")
action(n11, "merge orders to suppliers")
action(n12, "merge orders to suppliers")
action(n13, "monitor progress of purchase orders")
action(n14, "monitor progress of purchase orders")
action(n15, "manage transfers of material post orders")
action(n16, "receive requested material")
action(n17, "merge monitoring and managing transfers")
action(n18, "merge monitoring and managing transfers")
action(n19, "merge monitoring and managing transfers")
action(n20, "merge monitoring and managing transfers")
action(n21, "receive incoming material supplies")
action(n22, "merge receive incoming supplies to merge")
action(n23, "receive requested material simultaneously")
action(n24, "release invoices for payment simultaneously")
action(n25, "merge simultaneous receive and release")
action(n26, "merge simultaneous receive and release")
action(n27, "merge all before end")
action(n28, "merge all before end")
action(n29, "end process")
end(e1)
action(n30, "end process")
end(e2)
branch(b3, AND)
branch(b4, AND)
defines(v1, "check if material is in stock condition 1", {})
defines(v2, "check if material is in stock condition 2", {})
actor(a_default, "Default", [i1, n1, n2, n3, b1, n4, n5, n6, b2, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, n24, n25, n26, n27, n28, n29, e1, n30, e2, b3, b4])

precedence(i1, n1)
precedence(n3, b1)
precedence(n6, b2)
precedence(n29, e1)
precedence(n30, e2)
precedence(n8, b3)
precedence(n20, b4)
precedence(n1, n2)
precedence(n2, n3)
precedence(b1, n4)
precedence(b1, n5)
precedence(n5, n6)
precedence(b2, n7)
precedence(b2, n8)
precedence(n4, n9)
precedence(n7, n10)
precedence(n9, n11)
precedence(n10, n12)
precedence(n11, n13)
precedence(n12, n14)
precedence(b3, n15)
precedence(b3, n16)
precedence(n13, n17)
precedence(n14, n18)
precedence(n15, n19)
precedence(n16, n20)
precedence(n19, n21)
precedence(n21, n22)
precedence(b4, n23)
precedence(b4, n24)
precedence(n23, n25)
precedence(n24, n26)
precedence(n22, n27)
precedence(n25, n28)
precedence(n27, n29)
precedence(n28, n30)
