init(i1)
action(n1, "start the process")
action(n2, "Select trip type (One way / Return)")
branch(b1, XOR)
action(n3, "One way selected")
action(n4, "Return selected")
action(n5, "Select departure city")
action(n6, "Select departure city")
action(n7, "Select destination city")
action(n8, "Select class")
action(n9, "Choose seat")
action(n10, "Enter passenger details")
action(n11, "Select flight")
action(n12, "End of process")
end(e1)
defines(v1, "Select trip type (One way / Return)", {})
actor(a_default, "Default", [i1, n1, n2, b1, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, e1])

precedence(i1, n1)
precedence(n2, b1)
precedence(n12, e1)
precedence(n1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(n3, n5)
precedence(n4, n6)
precedence(n5, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
