init(i1)
action(n1, "start process")
action(n2, "Application Architecture")
action(n3, "Student records and mailing lists")
action(n4, "Use MYOB AccountRight Premier for Accounting")
action(n5, "Use MS Excel Worksheet for Program planning pricing and booking")
action(n6, "Use MS Project for Annual planning")
action(n7, "Use MS Word for Materials Lists")
action(n8, "Use Outlook for Email")
action(n9, "Manage Student records and mailing lists using MS Access")
action(n10, "End")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, e1])

precedence(i1, n1)
precedence(n10, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
