init(i1)
action(n1, "start the process")
action(n2, "new resupply cycle")
action(n3, "check levels of inventory")
action(n4, "is inventory below or equal to minimum?")
branch(b1, XOR)
action(n5, "generate: equal to or below minimum report")
action(n6, "generate: above minimum report")
action(n7, "end process")
end(e1)
action(n8, "create purchase orders (pos)")
action(n9, "review po")
action(n10, "is po rejected?")
branch(b2, XOR)
action(n11, "rework po")
action(n12, "approve and print po")
action(n13, "reserve funds for released pos and mail to supplier")
action(n14, "receive packing slip")
action(n15, "receive inventory")
action(n16, "is po reworked?")
branch(b3, XOR)
action(n17, "create po again")
action(n18, "approve and print po")
action(n19, "reserve funds for released pos and mail to supplier")
action(n20, "receive packing slip")
action(n21, "receive inventory")
action(n22, "receive invoice")
action(n23, "three-way match")
action(n24, "release funds and issue payment")
action(n25, "end process")
end(e2)
converge(c1)
branch(b4, AND)
branch(b5, AND)
defines(v1, "is inventory below or equal to minimum?", {})
defines(v2, "is po rejected?", {})
defines(v3, "is po reworked?", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, b1, n5, n6, n7, e1, n8, n9, n10, b2, n11, n12, n13, n14, n15, n16, b3, n17, n18, n19, n20, n21, n22, n23, n24, n25, e2, c1, b4, b5])

precedence(i1, n1)
precedence(n4, b1)
precedence(n7, e1)
precedence(n10, b2)
precedence(n16, b3)
precedence(n25, e2)
precedence(c1, n22)
precedence(n13, b4)
precedence(n19, b5)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(b1, n5)
precedence(b1, n6)
precedence(n6, n7)
precedence(n5, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(b2, n11)
precedence(b2, n12)
precedence(n12, n13)
precedence(b4, n14)
precedence(b4, n15)
precedence(n11, n16)
precedence(b3, n17)
precedence(b3, n18)
precedence(n17, n19)
precedence(b5, n20)
precedence(b5, n21)
precedence(n14, c1)
precedence(n15, c1)
precedence(n20, c1)
precedence(n21, c1)
precedence(n22, n23)
precedence(n23, n24)
precedence(n24, n25)
