init(i1)
action(n1, "start process")
action(n2, "go to Amazon homepage")
action(n3, "search for a book")
action(n4, "click on the 22 used link to view used books")
action(n5, "click on Add to Cart for the second book")
action(n6, "click on Proceed to Checkout")
action(n7, "enter email address")
action(n8, "select I am a new customer option")
action(n9, "click on Sign in using our secure server")
action(n10, "enter customer details")
action(n11, "click on Create account")
action(n12, "enter shipping details")
action(n13, "click on Continue")
action(n14, "select preferred shipping options")
action(n15, "click on Continue")
action(n16, "choose payment method and enter credit card details")
action(n17, "click on Add your card")
action(n18, "click on Continue")
action(n19, "choose billing address and select use chosen address option")
action(n20, "click on Place your order in AUD to complete process")
action(n21, "End")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, e1])

precedence(i1, n1)
precedence(n21, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
