init(i1)
action(n1, "start the process")
action(n2, "receive the invoice")
action(n3, "check the invoice for mismatches")
action(n4, "decide action on invoice")
branch(b1, XOR)
action(n5, "re-send the invoice to the customer")
action(n6, "continue the process")
action(n7, "post the invoice")
action(n8, "continue the process")
action(n9, "block the invoice")
action(n10, "continue the process")
action(n11, "park the invoice")
action(n12, "end the process")
end(e1)
defines(v1, "decide action on invoice", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, b1, n5, n6, n7, n8, n9, n10, n11, n12, e1])

precedence(i1, n1)
precedence(n4, b1)
precedence(n12, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(b1, n5)
precedence(n5, n6)
precedence(b1, n7)
precedence(n7, n8)
precedence(b1, n9)
precedence(n9, n10)
precedence(x1, n11)
precedence(n11, n12)
