init(i1)
action(n1, "start process")
action(n2, "Application Architecture")
action(n3, "Student records and mailing lists")
action(n4, "Accounting")
action(n5, "Use MYOB AccountRight Premier for Accounting")
action(n6, "Program planning pricing and booking")
action(n7, "Handle Program planning pricing and booking using MS Excel Worksheet")
action(n8, "Annual Planning")
action(n9, "Perform Annual Planning using MS Project")
action(n10, "Materials Lists")
action(n11, "Manage Materials Lists using MS Word")
action(n12, "Email")
action(n13, "Handle Email using Outlook")
action(n14, "Manage Student records and mailing lists using MS Access")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, e1])

precedence(i1, n1)
precedence(n14, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
