init(i1)
action(n1, "start process")
action(n2, "gather required items")
action(n3, "inquire about availability of products")
action(n4, "send inquiry")
action(n5, "wait for invoice")
action(n6, "review pricing and terms")
action(n7, "send purchase requisition")
action(n8, "wait for purchase invoice")
action(n9, "wait for shipment")
action(n10, "receive invoice")
action(n11, "make payment")
action(n12, "end process")
end(e1)
converge(c1)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, e1, c1, b1])

precedence(i1, n1)
precedence(n12, e1)
precedence(c1, n10)
precedence(n7, b1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(b1, n8)
precedence(b1, n9)
precedence(n8, c1)
precedence(n9, c1)
precedence(n10, n11)
precedence(n11, n12)
