init(i1)
action(n1, "start at Amazon homepage")
action(n2, "search for a book")
action(n3, "click on link '22 used' to see used books available")
action(n4, "click on 'Add to Cart' button for second book on the list")
action(n5, "click on 'Proceed to Checkout' button")
action(n6, "enter email address on checkout page")
action(n7, "select 'I am a new customer' option")
action(n8, "click 'Sign in using our secure server' button")
action(n9, "sign in successful")
branch(b1, XOR)
action(n10, "enter customer details")
action(n11, "click 'Create account' button")
action(n12, "enter shipping details")
action(n13, "click 'Continue' button")
action(n14, "select preferred shipping options")
action(n15, "click 'Continue' button")
action(n16, "choose payment method and enter credit card details")
action(n17, "click 'Add your card' button to save card information")
action(n18, "click 'Continue' button")
action(n19, "choose billing address")
action(n20, "select option to use chosen billing address")
action(n21, "click 'Place your order in AUD' to complete process")
action(n22, "sign in unsuccessful contact support")
end(e1)
action(n23, "You have completed this procedure")
end(e2)
defines(v1, "sign in successful", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, b1, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, e1, n23, e2])

precedence(i1, n1)
precedence(n9, b1)
precedence(n22, e1)
precedence(n23, e2)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(b1, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(b1, n22)
precedence(n21, n23)
label(n8, n9, "No")
