init(i1)
action(n1, "start")
action(n2, "go to the Amazon homepage")
action(n3, "search for a book")
action(n4, "click on the 22 used link")
action(n5, "click on the Add to Cart button for the second book on the list")
action(n6, "click on the Proceed to Checkout button")
action(n7, "enter your email address and select I am a new customer")
action(n8, "click on the Sign in using our secure server button")
action(n9, "enter your customer details and click on the Create account button")
action(n10, "enter your shipping details and click on the Continue button")
action(n11, "select your preferred shipping options and click on Continue")
action(n12, "choose your payment method and enter your credit card details")
action(n13, "click on the Add your card button")
action(n14, "click on Continue to proceed")
action(n15, "choose your billing address and select the option to use the address you have chosen")
action(n16, "click on Place your order in AUD")
action(n17, "end")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, e1])

precedence(i1, n1)
precedence(n17, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
