init(i1)
action(n1, "start")
action(n2, "Identify Business Need")
action(n3, "Gather Business Requirements")
action(n4, "Create RFP")
action(n5, "Create scorecard")
action(n6, "Submit RFP to Vendors")
action(n7, "Score proposals")
action(n8, "Request Response by set date")
action(n9, "Downselect vendors to present proposals")
action(n10, "Receive Proposal")
action(n11, "Attend presentations")
action(n12, "Rescore based on Q&A sessions at presentations")
action(n13, "Request pricing and scope adjustments as needed")
action(n14, "Review updated proposals")
action(n15, "Rescore based on final proposals")
action(n16, "Notify vendors of selection")
action(n17, "create contract based on winning proposal")
action(n18, "end")
end(e1)
converge(c1)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, e1, c1, b1])

precedence(i1, n1)
precedence(n18, e1)
precedence(c1, n7)
precedence(n3, b1)
precedence(n1, n2)
precedence(n2, n3)
precedence(b1, n4)
precedence(b1, n5)
precedence(n4, n6)
precedence(n5, c1)
precedence(n6, n8)
precedence(n7, n9)
precedence(n8, n10)
precedence(n9, n11)
precedence(n10, c1)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
