init(i1)
action(n1, "start")
action(n2, "go to the Amazon homepage")
action(n3, "search for a book")
action(n4, "found the book")
branch(b1, XOR)
action(n5, "click link 22 used to see the used books")
action(n6, "click Add to Cart button for the second book")
action(n7, "click Proceed to Checkout button")
action(n8, "enter email address")
action(n9, "select I am a new customer option")
action(n10, "click Sign in using our secure server button")
action(n11, "enter customer details")
action(n12, "click Create account button")
action(n13, "enter shipping details")
action(n14, "click Continue button after shipping details")
action(n15, "select shipping options")
action(n16, "click Continue button after shipping options")
action(n17, "choose payment method")
action(n18, "enter credit card details")
action(n19, "click Add your card button")
action(n20, "click Continue button after adding card")
action(n21, "choose billing address")
action(n22, "select option to use chosen billing address")
action(n23, "click Place your order in AUD")
action(n24, "end")
end(e1)
defines(v1, "found the book", {"No", "Yes"})
actor(a_default, "Default", [i1, n1, n2, n3, n4, b1, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, n24, e1])

precedence(i1, n1)
precedence(n4, b1)
precedence(n24, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(b1, n3)
precedence(b1, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
precedence(n23, n24)
guard(b1, n3, v1 = 'No')
guard(b1, n5, v1 = 'Yes')
