init(i1)
action(n1, "start")
action(n2, "Request for Quotation")
action(n3, "submit RFQ")
action(n4, "submit Quotation")
action(n5, "receive Quotation")
action(n6, "submit Purchase Order")
action(n7, "send Goods")
action(n8, "send Invoice")
action(n9, "mark Goods as sent")
action(n10, "mark Invoice as sent")
action(n11, "End when Goods sent")
end(e1)
action(n12, "End when Invoice sent")
end(e2)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, e1, n12, e2, b1])

precedence(i1, n1)
precedence(n11, e1)
precedence(n12, e2)
precedence(n6, b1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(b1, n7)
precedence(b1, n8)
precedence(n7, n9)
precedence(n8, n10)
precedence(n9, n11)
precedence(n10, n12)
