init(i1)
action(n1, "start")
action(n2, "BUSINESS PROCESS REQUIREMENTS")
action(n3, "SAP Configuration")
action(n4, "Communications Design")
action(n5, "Learning Design")
action(n6, "Data Conversion Design & Test")
action(n7, "IT Design Development & Functional Test")
action(n8, "Communications Deployment")
action(n9, "Learning Deployment")
action(n10, "Integration Test")
action(n11, "Deployment")
action(n12, "PRODUCTION SUPPORT")
action(n13, "End")
end(e1)
converge(c1)
converge(c2)
branch(b1, AND)
branch(b2, AND)
branch(b3, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, e1, c1, c2, b1, b2, b3])

precedence(i1, n1)
precedence(n13, e1)
precedence(c1, n10)
precedence(c2, n11)
precedence(n3, b1)
precedence(n4, b2)
precedence(n5, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(b1, n4)
precedence(b2, n5)
precedence(b3, n6)
precedence(b1, n7)
precedence(b2, n8)
precedence(b3, n9)
precedence(n6, c1)
precedence(n7, c1)
precedence(n8, c2)
precedence(n9, c2)
precedence(n10, c2)
precedence(n11, n12)
precedence(n12, n13)
