init(i1)
action(n1, "Go to Amazon homepage")
action(n2, "Search for a book")
action(n3, "Click on the link 22 used to see used books available")
action(n4, "Click Add to Cart button for the second book on the list")
action(n5, "Click Proceed to Checkout button")
action(n6, "Enter your email address")
action(n7, "Select I am a new customer option")
action(n8, "Click Sign in using our secure server button")
action(n9, "Enter your customer details")
action(n10, "Click Create account button")
action(n11, "Enter your shipping details")
action(n12, "Click Continue button")
action(n13, "Select preferred shipping options")
action(n14, "Click Continue button")
action(n15, "Choose payment method and enter credit card details")
action(n16, "Click Add your card button")
action(n17, "Click Continue to proceed")
action(n18, "Choose billing address and select use this address option")
action(n19, "Click Place your order in AUD")
action(n20, "You have completed this procedure")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, e1])

precedence(i1, n1)
precedence(n20, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
