init(i1)
action(n1, "start")
action(n2, "go to Amazon homepage")
action(n3, "search for a book")
action(n4, "click on link that says 22 used")
action(n5, "click on add to cart button for second book")
action(n6, "click on proceed to checkout")
action(n7, "enter email address on checkout page")
action(n8, "select option I am a new customer")
action(n9, "click on sign in using our secure server")
action(n10, "enter customer details")
action(n11, "click on create account")
action(n12, "enter shipping details")
action(n13, "click on continue after shipping details")
action(n14, "select preferred shipping options")
action(n15, "click on continue after shipping options")
action(n16, "choose payment method")
action(n17, "enter credit card details")
action(n18, "click on add your card")
action(n19, "click on continue after adding card")
action(n20, "choose billing address")
action(n21, "select option to use chosen address")
action(n22, "click on place your order in AUD")
action(n23, "end")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, e1])

precedence(i1, n1)
precedence(n23, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
